,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Tissue,cell_type
0,logFC,E2F Targets,0.749229935538069,2.6971681618872494,0.001,0.001,0.001,38/67,11.13%,STMN1;HMGB2;SMC4;TUBB;DNMT1;HMGA1;RANBP1;DUT;H2AZ1;UBE2S;CBX5;DEK;RBBP7;RFC1;CKS2;JPT1;TMPO;PSIP1;PRKDC;RAN;DDX39A;ANP32E;SLBP;PA2G4;RAD21;LBR;NAA38;DCK;TP53;SMC1A;KPNA2;USP1;PDS5B;NBN;NASP;PRIM2;TFRC;SMC3,Colon,B cell
1,logFC,G2-M Checkpoint,0.6054611904154058,2.2719637152149996,0.001,0.001,0.001,35/77,18.11%,STMN1;SMC4;NSD2;HMGA1;H2AZ1;UBE2S;HMGN2;H2AZ2;CKS2;SNRPD1;JPT1;TMPO;DDX39A;RAD21;LBR;SMC1A;KPNA2;CUL3;ODC1;BUB3;PDS5B;SRSF10;MTF2;NASP;PRIM2;DBF4;RPA2;TOP1;SRSF2;SMARCC1;XPO1;SFPQ;GSPT1;HNRNPD;ILF3,Colon,B cell
2,logFC,TNF-alpha Signaling via NF-kB,-0.5680605714673764,-2.1678139149206053,0.001,0.001,0.001,38/65,25.45%,AREG;KLF2;SLC2A3;CD69;JUNB;FOS;ZBTB10;SMAD3;BTG1;PDE4B;DUSP1;IRF1;PNRC1;SAT1;BIRC3;CD83;PER1;NR4A2;JUN;CD44;NFE2L2;SIK1;NAMPT;ZFP36;KDM6B;FOSB;B4GALT1;IER5;BTG2;EIF1;IER2;MARCKS;NFKB2;GCH1;EGR1;LITAF;NFKBIA;REL,Colon,B cell
3,logFC,Interferon Alpha Response,-0.622152032346051,-2.035324812415905,0.001,0.002406532015470563,0.004,19/31,20.83%,IFITM1;SELL;IFITM2;EPSTI1;IRF1;TXNIP;NUB1;IRF9;PARP14;SAMD9;B2M;CD47;CASP8;SP110;IRF2;HLA-C;BST2;CD74;PSME1,Colon,B cell
4,logFC,KRAS Signaling Dn,-0.7337745078418609,-2.0316699012859174,0.004140786749482402,0.0016043546769803753,0.004,8/15,10.40%,TENT5C;SIDT1;SKIL;PRKN;NR4A2;CAMK1D;SLC16A7;TCL1A,Colon,B cell
5,logFC,Myc Targets V1,0.4918479226090019,2.019422756449566,0.001,0.0010973936899862826,0.004,57/141,19.69%,RANBP1;DUT;H2AZ1;DEK;PRDX3;SNRPD1;LDHA;PSMD1;RAN;CBX3;PA2G4;SRPK1;PSMD14;PSMA4;COX5A;VDAC1;PPM1G;KPNA2;HSPD1;CCT5;SNRPA1;PSMB2;PSMA6;PABPC4;ODC1;USP1;BUB3;CCT2;YWHAQ;YWHAE;PSMB3;PSMD7;ILF2;PPIA;IARS1;TXNL4A;NDUFAB1;UBE2L3;HNRNPR;SRSF2;HNRNPA2B1;DHX15;SMARCC1;XPO1;PSMA7;UBA2;CANX;ERH;EIF4A1;PSMD8;GSPT1;HNRNPD;CCT3;SNRPG;EIF4H;PTGES3;ACP1,Colon,B cell
6,logFC,Oxidative Phosphorylation,0.46706989902746987,1.8439646319974878,0.001,0.009259259259259259,0.041,47/102,26.70%,PRDX3;SLC25A5;LDHA;OGDH;ACADM;COX8A;COX5A;NDUFS8;VDAC1;LDHB;NDUFS6;ATP5MF;ATP5MC3;MRPL11;NDUFB1;NDUFA2;ATP5F1C;NDUFAB1;ATP5F1B;ETFB;NDUFB3;NDUFC2;ATP5F1A;UQCR10;MDH1;ATP5PF;NDUFS7;COX6A1;VDAC2;NDUFA6;NDUFB6;PHB2;ATP5MG;ABCB7;UQCRQ;NDUFB8;ATP5PD;NDUFC1;HADHA;NDUFB4;NDUFA4;ETFA;COX6B1;COX6C;UQCRFS1;NDUFV2;NDUFV1,Colon,B cell
7,logFC,Interferon Gamma Response,-0.4321289566507502,-1.7019367905620952,0.001,0.032187365706918776,0.101,24/73,14.08%,ARL4A;CD69;IFITM2;BTG1;AUTS2;PDE4B;EPSTI1;IRF1;TXNIP;IRF9;GPR18;PARP14;BANK1;MX2;B2M;NAMPT;CASP4;HLA-DQA1;CASP8;SP110;LYSMD2;HLA-A;STAT3;IRF2,Colon,B cell
8,logFC,IL-6/JAK/STAT3 Signaling,-0.5346489934839843,-1.7014212482108138,0.006263048016701462,0.02574989256553502,0.101,13/25,24.45%,IL10RB;IRF1;IFNAR1;JUN;IL2RG;IRF9;CD44;LTB;STAT3;ITGA4;TGFB1;IFNGR1;IL4R,Colon,B cell
9,logFC,Apoptosis,-0.4405895675616708,-1.661422884162095,0.0045045045045045045,0.03790287924366137,0.172,29/56,25.98%,APP;SC5D;CD69;DPYD;BNIP3L;IRF1;TXNIP;PDCD4;SAT1;BIRC3;JUN;CD44;GPX1;CYLD;CASP4;CASP8;LGALS3;PAK1;BTG2;BCL10;ADD1;GPX4;GCH1;CDKN1B;IFNGR1;PSEN1;NEDD9;DNAJC3;ISG20,Colon,B cell
