,Term_cat,Term,Term_id,geneSymbols,Ontology
0,OIS,HALLMARK_INFLAMMATORY_RESPONSE,,"['ABCA1', 'ABI1', 'ACVR1B', 'ACVR2A', 'ADGRE1', 'ADM', 'ADORA2B', 'ADRM1', 'AHR', 'APLNR', 'AQP9', 'ATP2A2', 'ATP2B1', 'ATP2C1', 'AXL', 'BDKRB1', 'BEST1', 'BST2', 'BTG2', 'C3AR1', 'C5AR1', 'CALCRL', 'CCL17', 'CCL2', 'CCL20', 'CCL22', 'CCL24', 'CCL5', 'CCL7', 'CCR7', 'CCRL2', 'CD14', 'CD40', 'CD48', 'CD55', 'CD69', 'CD70', 'CD82', 'CDKN1A', 'CHST2', 'CLEC5A', 'CMKLR1', 'CSF1', 'CSF3', 'CSF3R', 'CX3CL1', 'CXCL10', 'CXCL11', 'CXCL6', 'CXCL8', 'CXCL9', 'CXCR6', 'CYBB', 'DCBLD2', 'EBI3', 'EDN1', 'EIF2AK2', 'EMP3', 'EREG', 'F3', 'FFAR2', 'FPR1', 'FZD5', 'GABBR1', 'GCH1', 'GNA15', 'GNAI3', 'GP1BA', 'GPC3', 'GPR132', 'GPR183', 'HAS2', 'HBEGF', 'HIF1A', 'HPN', 'HRH1', 'ICAM1', 'ICAM4', 'ICOSLG', 'IFITM1', 'IFNAR1', 'IFNGR2', 'IL10', 'IL10RA', 'IL12B', 'IL15', 'IL15RA', 'IL18', 'IL18R1', 'IL18RAP', 'IL1A', 'IL1B', 'IL1R1', 'IL2RB', 'IL4R', 'IL6', 'IL7R', 'INHBA', 'IRAK2', 'IRF1', 'IRF7', 'ITGA5', 'ITGB3', 'ITGB8', 'KCNA3', 'KCNJ2', 'KCNMB2', 'KIF1B', 'KLF6', 'LAMP3', 'LCK', 'LCP2', 'LDLR', 'LIF', 'LPAR1', 'LTA', 'LY6E', 'LYN', 'MARCO', 'MEFV', 'MEP1A', 'MET', 'MMP14', 'MSR1', 'MXD1', 'MYC', 'NAMPT', 'NDP', 'NFKB1', 'NFKBIA', 'NLRP3', 'NMI', 'NMUR1', 'NOD2', 'NPFFR2', 'OLR1', 'OPRK1', 'OSM', 'OSMR', 'P2RX4', 'P2RX7', 'P2RY2', 'PCDH7', 'PDE4B', 'PDPN', 'PIK3R5', 'PLAUR', 'PROK2', 'PSEN1', 'PTAFR', 'PTGER2', 'PTGER4', 'PTGIR', 'PTPRE', 'PVR', 'RAF1', 'RASGRP1', 'RELA', 'RGS1', 'RGS16', 'RHOG', 'RIPK2', 'RNF144B', 'ROS1', 'RTP4', 'SCARF1', 'SCN1B', 'SELE', 'SELENOS', 'SELL', 'SEMA4D', 'SERPINE1', 'SGMS2', 'SLAMF1', 'SLC11A2', 'SLC1A2', 'SLC28A2', 'SLC31A1', 'SLC31A2', 'SLC4A4', 'SLC7A1', 'SLC7A2', 'SPHK1', 'SRI', 'STAB1', 'TACR1', 'TACR3', 'TAPBP', 'TIMP1', 'TLR1', 'TLR2', 'TLR3', 'TNFAIP6', 'TNFRSF1B', 'TNFRSF9', 'TNFSF10', 'TNFSF15', 'TNFSF9', 'TPBG', 'VIP']",HALLMARK
1,OIS,HALLMARK_KRAS_SIGNALING_UP,,"['ABCB1', 'ACE', 'ADAM17', 'ADAM8', 'ADAMDEC1', 'ADGRA2', 'ADGRL4', 'AKAP12', 'AKT2', 'ALDH1A2', 'ALDH1A3', 'AMMECR1', 'ANGPTL4', 'ANKH', 'ANO1', 'ANXA10', 'APOD', 'ARG1', 'ATG10', 'AVL9', 'BIRC3', 'BMP2', 'BPGM', 'BTBD3', 'BTC', 'C3AR1', 'CA2', 'CAB39L', 'CBL', 'CBR4', 'CBX8', 'CCL20', 'CCND2', 'CCSER2', 'CD37', 'CDADC1', 'CFB', 'CFH', 'CFHR2', 'CIDEA', 'CLEC4A', 'CMKLR1', 'CPE', 'CROT', 'CSF2', 'CSF2RA', 'CTSS', 'CXCL10', 'CXCR4', 'DCBLD2', 'DNMBP', 'DOCK2', 'DUSP6', 'EMP1', 'ENG', 'EPB41L3', 'EPHB2', 'EREG', 'ERO1A', 'ETS1', 'ETV1', 'ETV4', 'ETV5', 'EVI5', 'F13A1', 'F2RL1', 'FBXO4', 'FCER1G', 'FGF9', 'FLT4', 'FUCA1', 'G0S2', 'GABRA3', 'GADD45G', 'GALNT3', 'GFPT2', 'GLRX', 'GNG11', 'GPNMB', 'GPRC5B', 'GUCY1A1', 'GYPC', 'H2BC3', 'HBEGF', 'HDAC9', 'HKDC1', 'HOXD11', 'HSD11B1', 'ID2', 'IGF2', 'IGFBP3', 'IKZF1', 'IL10RA', 'IL1B', 'IL1RL2', 'IL2RG', 'IL33', 'IL7R', 'INHBA', 'IRF8', 'ITGA2', 'ITGB2', 'ITGBL1', 'JUP', 'KCNN4', 'KIF5C', 'KLF4', 'LAPTM5', 'LAT2', 'LCP1', 'LIF', 'LY96', 'MAFB', 'MALL', 'MAP3K1', 'MAP4K1', 'MAP7', 'MMD', 'MMP10', 'MMP11', 'MMP9', 'MPZL2', 'MTMR10', 'MYCN', 'NAP1L2', 'NGF', 'NIN', 'NR0B2', 'NR1H4', 'NRP1', 'PCP4', 'PCSK1N', 'PDCD1LG2', 'PECAM1', 'PEG3', 'PIGR', 'PLAT', 'PLAU', 'PLAUR', 'PLEK2', 'PLVAP', 'PPBP', 'PPP1R15A', 'PRDM1', 'PRELID3B', 'PRKG2', 'PRRX1', 'PSMB8', 'PTBP2', 'PTCD2', 'PTGS2', 'PTPRR', 'RABGAP1L', 'RBM4', 'RBP4', 'RELN', 'RETN', 'RGS16', 'SATB1', 'SCG3', 'SCG5', 'SCN1B', 'SDCCAG8', 'SEMA3B', 'SERPINA3', 'SLPI', 'SNAP25', 'SNAP91', 'SOX9', 'SPARCL1', 'SPON1', 'SPP1', 'SPRY2', 'ST6GAL1', 'STRN', 'TFPI', 'TLR8', 'TMEM100', 'TMEM158', 'TMEM176A', 'TMEM176B', 'TNFAIP3', 'TNFRSF1B', 'TNNT2', 'TOR1AIP2', 'TPH1', 'TRAF1', 'TRIB1', 'TRIB2', 'TSPAN1', 'TSPAN13', 'TSPAN7', 'USH1C', 'USP12', 'VWA5A', 'WDR33', 'WNT7A', 'YRDC', 'ZNF277', 'ZNF639']",HALLMARK
2,OIS,HALLMARK_MTORC1_SIGNALING,,"['ABCF2', 'ACACA', 'ACLY', 'ACSL3', 'ACTR2', 'ACTR3', 'ADD3', 'ADIPOR2', 'AK4', 'ALDOA', 'ARPC5L', 'ASNS', 'ATP2A2', 'ATP5MC1', 'ATP6V1D', 'AURKA', 'BCAT1', 'BHLHE40', 'BTG2', 'BUB1', 'CACYBP', 'CALR', 'CANX', 'CCNF', 'CCNG1', 'CCT6A', 'CD9', 'CDC25A', 'CDKN1A', 'CFP', 'COPS5', 'CORO1A', 'CTH', 'CTSC', 'CXCR4', 'CYB5B', 'CYP51A1', 'DAPP1', 'DDIT3', 'DDIT4', 'DDX39A', 'DHCR24', 'DHCR7', 'DHFR', 'EBP', 'EDEM1', 'EEF1E1', 'EGLN3', 'EIF2S2', 'ELOVL5', 'ELOVL6', 'ENO1', 'EPRS1', 'ERO1A', 'ETF1', 'FADS1', 'FADS2', 'FDXR', 'FGL2', 'FKBP2', 'G6PD', 'GAPDH', 'GBE1', 'GCLC', 'GGA2', 'GLA', 'GLRX', 'GMPS', 'GOT1', 'GPI', 'GSK3B', 'GSR', 'GTF2H1', 'HK2', 'HMBS', 'HMGCR', 'HMGCS1', 'HPRT1', 'HSP90B1', 'HSPA4', 'HSPA5', 'HSPA9', 'HSPD1', 'HSPE1', 'IDH1', 'IDI1', 'IFI30', 'IFRD1', 'IGFBP5', 'IMMT', 'INSIG1', 'ITGB2', 'LDHA', 'LDLR', 'LGMN', 'LTA4H', 'M6PR', 'MAP2K3', 'MCM2', 'MCM4', 'ME1', 'MLLT11', 'MTHFD2', 'MTHFD2L', 'NAMPT', 'NFIL3', 'NFKBIB', 'NFYC', 'NHERF1', 'NIBAN1', 'NMT1', 'NUFIP1', 'NUP205', 'NUPR1', 'P4HA1', 'PDAP1', 'PDK1', 'PFKL', 'PGK1', 'PGM1', 'PHGDH', 'PIK3R3', 'PITPNB', 'PLK1', 'PLOD2', 'PNO1', 'PNP', 'POLR3G', 'PPA1', 'PPIA', 'PPP1R15A', 'PRDX1', 'PSAT1', 'PSMA3', 'PSMA4', 'PSMB5', 'PSMC2', 'PSMC4', 'PSMC6', 'PSMD12', 'PSMD13', 'PSMD14', 'PSME3', 'PSMG1', 'PSPH', 'QDPR', 'RAB1A', 'RDH11', 'RIT1', 'RPA1', 'RPN1', 'RRM2', 'RRP9', 'SC5D', 'SCD', 'SDF2L1', 'SEC11A', 'SERP1', 'SERPINH1', 'SHMT2', 'SKAP2', 'SLA', 'SLC1A4', 'SLC1A5', 'SLC2A1', 'SLC2A3', 'SLC37A4', 'SLC6A6', 'SLC7A11', 'SLC7A5', 'SORD', 'SQLE', 'SQSTM1', 'SRD5A1', 'SSR1', 'STARD4', 'STC1', 'STIP1', 'SYTL2', 'TBK1', 'TCEA1', 'TES', 'TFRC', 'TM7SF2', 'TMEM97', 'TOMM40', 'TPI1', 'TRIB3', 'TUBA4A', 'TUBG1', 'TXNRD1', 'UBE2D3', 'UCHL5', 'UFM1', 'UNG', 'USO1', 'VLDLR', 'WARS1', 'XBP1', 'YKT6']",HALLMARK
3,OIS,HALLMARK_PI3K_AKT_MTOR_SIGNALING,,"['ACACA', 'ACTR2', 'ACTR3', 'ADCY2', 'AKT1', 'AKT1S1', 'AP2M1', 'ARF1', 'ARHGDIA', 'ARPC3', 'ATF1', 'CAB39', 'CAB39L', 'CALR', 'CAMK4', 'CDK1', 'CDK2', 'CDK4', 'CDKN1A', 'CDKN1B', 'CFL1', 'CLTC', 'CSNK2B', 'CXCR4', 'DAPP1', 'DDIT3', 'DUSP3', 'E2F1', 'ECSIT', 'EGFR', 'EIF4E', 'FASLG', 'FGF17', 'FGF22', 'FGF6', 'GNA14', 'GNGT1', 'GRB2', 'GRK2', 'GSK3B', 'HRAS', 'HSP90B1', 'IL2RG', 'IL4', 'IRAK4', 'ITPR2', 'LCK', 'MAP2K3', 'MAP2K6', 'MAP3K7', 'MAPK1', 'MAPK10', 'MAPK8', 'MAPK9', 'MAPKAP1', 'MKNK1', 'MKNK2', 'MYD88', 'NCK1', 'NFKBIB', 'NGF', 'NOD1', 'PAK4', 'PDK1', 'PFN1', 'PIK3R3', 'PIKFYVE', 'PIN1', 'PITX2', 'PLA2G12A', 'PLCB1', 'PLCG1', 'PPP1CA', 'PPP2R1B', 'PRKAA2', 'PRKAG1', 'PRKAR2A', 'PRKCB', 'PTEN', 'PTPN11', 'RAC1', 'RAF1', 'RALB', 'RIPK1', 'RIT1', 'RPS6KA1', 'RPS6KA3', 'RPTOR', 'SFN', 'SLA', 'SLC2A1', 'SMAD2', 'SQSTM1', 'STAT2', 'TBK1', 'THEM4', 'TIAM1', 'TNFRSF1A', 'TRAF2', 'TRIB3', 'TSC2', 'UBE2D3', 'UBE2N', 'VAV3', 'YWHAB']",HALLMARK
4,OIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,,"['ABCC1', 'ATOX1', 'CAT', 'CDKN2D', 'EGLN2', 'ERCC2', 'FES', 'FTL', 'G6PD', 'GCLC', 'GCLM', 'GLRX', 'GLRX2', 'GPX3', 'GPX4', 'GSR', 'HHEX', 'HMOX2', 'IPCEF1', 'JUNB', 'LAMTOR5', 'LSP1', 'MBP', 'MGST1', 'MPO', 'MSRA', 'NDUFA6', 'NDUFB4', 'NDUFS2', 'NQO1', 'OXSR1', 'PDLIM1', 'PFKP', 'PRDX1', 'PRDX2', 'PRDX4', 'PRDX6', 'PRNP', 'PTPA', 'SBNO2', 'SCAF4', 'SELENOS', 'SOD1', 'SOD2', 'SRXN1', 'STK25', 'TXN', 'TXNRD1', 'TXNRD2']",HALLMARK
5,OIS,REACTOME_CELLULAR_SENESCENCE,R-HSA-2559583,"['ACD', 'AGO1', 'AGO3', 'AGO4', 'ANAPC1', 'ANAPC10', 'ANAPC11', 'ANAPC15', 'ANAPC16', 'ANAPC2', 'ANAPC4', 'ANAPC5', 'ANAPC7', 'ASF1A', 'ATM', 'BMI1', 'CABIN1', 'CBX2', 'CBX4', 'CBX6', 'CBX8', 'CCNA1', 'CCNA2', 'CCNE1', 'CCNE2', 'CDC16', 'CDC23', 'CDC26', 'CDC27', 'CDK2', 'CDK4', 'CDK6', 'CDKN1A', 'CDKN1B', 'CDKN2A', 'CDKN2B', 'CDKN2C', 'CDKN2D', 'CEBPB', 'CXCL8', 'E2F1', 'E2F2', 'E2F3', 'EED', 'EHMT1', 'EHMT2', 'EP400', 'ERF', 'ETS1', 'ETS2', 'EZH2', 'FOS', 'FZR1', 'H1-0', 'H1-1', 'H1-2', 'H1-3', 'H1-4', 'H1-5', 'H2AB1', 'H2AC14', 'H2AC18', 'H2AC19', 'H2AC20', 'H2AC4', 'H2AC6', 'H2AC7', 'H2AC8', 'H2AJ', 'H2AX', 'H2AZ2', 'H2BC1', 'H2BC10', 'H2BC11', 'H2BC12', 'H2BC12L', 'H2BC13', 'H2BC14', 'H2BC15', 'H2BC17', 'H2BC21', 'H2BC26', 'H2BC3', 'H2BC4', 'H2BC5', 'H2BC6', 'H2BC7', 'H2BC8', 'H2BC9', 'H3-3A', 'H3-3B', 'H3-4', 'H3C1', 'H3C10', 'H3C11', 'H3C12', 'H3C13', 'H3C14', 'H3C15', 'H3C2', 'H3C3', 'H3C4', 'H3C6', 'H3C7', 'H3C8', 'H4C1', 'H4C11', 'H4C12', 'H4C13', 'H4C14', 'H4C15', 'H4C16', 'H4C2', 'H4C3', 'H4C4', 'H4C5', 'H4C6', 'H4C8', 'H4C9', 'HIRA', 'HMGA1', 'HMGA2', 'ID1', 'IFNB1', 'IGFBP7', 'IL1A', 'IL6', 'JUN', 'KAT5', 'KDM6B', 'LMNB1', 'MAP2K3', 'MAP2K4', 'MAP2K6', 'MAP2K7', 'MAP3K5', 'MAP4K4', 'MAPK1', 'MAPK10', 'MAPK11', 'MAPK14', 'MAPK3', 'MAPK7', 'MAPK8', 'MAPK9', 'MAPKAPK2', 'MAPKAPK3', 'MAPKAPK5', 'MDM2', 'MDM4', 'MINK1', 'MIR24-1', 'MIR24-2', 'MOV10', 'MRE11', 'NBN', 'NFKB1', 'PHC1', 'PHC2', 'PHC3', 'POT1', 'RAD50', 'RB1', 'RBBP4', 'RBBP7', 'RELA', 'RING1', 'RNF2', 'RPS27A', 'RPS6KA1', 'RPS6KA2', 'RPS6KA3', 'SCMH1', 'SP1', 'STAT3', 'SUZ12', 'TERF1', 'TERF2', 'TERF2IP', 'TFDP1', 'TFDP2', 'TINF2', 'TNIK', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'TP53', 'TXN', 'UBA52', 'UBB', 'UBC', 'UBE2C', 'UBE2D1', 'UBE2E1', 'UBE2S', 'UBN1', 'VENTX']",REACTOME
6,OIS,REACTOME_ISG15_ANTIVIRAL_MECHANISM,R-HSA-1169408,"['AAAS', 'ARIH1', 'BECN1', 'EIF2AK2', 'EIF4A1', 'EIF4A2', 'EIF4A3', 'EIF4E', 'EIF4E2', 'EIF4E3', 'EIF4G1', 'EIF4G2', 'EIF4G3', 'FLNB', 'HERC5', 'IFIT1', 'IRF3', 'ISG15', 'JAK1', 'KPNA1', 'KPNA2', 'KPNA3', 'KPNA4', 'KPNA5', 'KPNA7', 'KPNB1', 'MAPK3', 'MX1', 'MX2', 'NDC1', 'NEDD4', 'NUP107', 'NUP133', 'NUP153', 'NUP155', 'NUP160', 'NUP188', 'NUP205', 'NUP210', 'NUP214', 'NUP35', 'NUP37', 'NUP42', 'NUP43', 'NUP50', 'NUP54', 'NUP58', 'NUP62', 'NUP85', 'NUP88', 'NUP93', 'NUP98', 'PIN1', 'PLCG1', 'POM121', 'POM121C', 'PPM1B', 'RAE1', 'RANBP2', 'RIGI', 'RPS27A', 'SEC13', 'SEH1L', 'STAT1', 'TPR', 'TRIM25', 'UBA52', 'UBA7', 'UBB', 'UBC', 'UBE2E1', 'UBE2L6', 'UBE2N', 'USP18']",REACTOME
7,OIS,REACTOME_ONCOGENE_INDUCED_SENESCENCE,R-HSA-2559585,"['AGO1', 'AGO3', 'AGO4', 'CDK4', 'CDK6', 'CDKN2A', 'CDKN2B', 'CDKN2C', 'CDKN2D', 'E2F1', 'E2F2', 'E2F3', 'ERF', 'ETS1', 'ETS2', 'ID1', 'MAPK1', 'MAPK3', 'MDM2', 'MDM4', 'MIR24-1', 'MIR24-2', 'MOV10', 'RB1', 'RPS27A', 'SP1', 'TFDP1', 'TFDP2', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'TP53', 'UBA52', 'UBB', 'UBC']",REACTOME
8,TIS,HALLMARK_DNA_REPAIR,,"['AAAS', 'ADA', 'ADCY6', 'ADRM1', 'AGO4', 'AK1', 'AK3', 'ALYREF', 'APRT', 'ARL6IP1', 'BCAM', 'BCAP31', 'BOLA2', 'BRF2', 'CANT1', 'CCNO', 'CDA', 'CETN2', 'CLP1', 'CMPK2', 'COX17', 'CSTF3', 'DAD1', 'DCTN4', 'DDB1', 'DDB2', 'DGCR8', 'DGUOK', 'DUT', 'EDF1', 'EIF1B', 'ELL', 'ELOA', 'ERCC1', 'ERCC2', 'ERCC3', 'ERCC4', 'ERCC5', 'ERCC8', 'FEN1', 'GMPR2', 'GPX4', 'GSDME', 'GTF2A2', 'GTF2B', 'GTF2F1', 'GTF2H1', 'GTF2H3', 'GTF2H5', 'GTF3C5', 'GUK1', 'HCLS1', 'HPRT1', 'IMPDH2', 'ITPA', 'LIG1', 'MPC2', 'MPG', 'MRPL40', 'NCBP2', 'NELFB', 'NELFCD', 'NELFE', 'NFX1', 'NME1', 'NME3', 'NME4', 'NPR2', 'NT5C', 'NT5C3A', 'NUDT21', 'NUDT9', 'PCNA', 'PDE4B', 'PDE6G', 'PNP', 'POLA1', 'POLA2', 'POLB', 'POLD1', 'POLD3', 'POLD4', 'POLE4', 'POLH', 'POLL', 'POLR1C', 'POLR1D', 'POLR1H', 'POLR2A', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR3C', 'POLR3GL', 'POM121', 'PRIM1', 'RAD51', 'RAD52', 'RAE1', 'RALA', 'RBX1', 'REV3L', 'RFC2', 'RFC3', 'RFC4', 'RFC5', 'RNMT', 'RPA2', 'RPA3', 'RRM2B', 'SAC3D1', 'SDCBP', 'SEC61A1', 'SF3A3', 'SMAD5', 'SNAPC4', 'SNAPC5', 'SRSF6', 'SSRP1', 'STX3', 'SUPT4H1', 'SUPT5H', 'SURF1', 'TAF10', 'TAF12', 'TAF13', 'TAF1C', 'TAF6', 'TAF9', 'TARBP2', 'TK2', 'TMED2', 'TP53', 'TSG101', 'TYMS', 'UMPS', 'UPF3B', 'USP11', 'VPS28', 'VPS37B', 'VPS37D', 'XPC', 'ZNF707', 'ZWINT']",HALLMARK
9,TIS,HALLMARK_P53_PATHWAY,,"['ABAT', 'ABCC5', 'ABHD4', 'ACVR1B', 'ADA', 'AEN', 'AK1', 'ALOX15B', 'ANKRA2', 'APAF1', 'APP', 'ATF3', 'BAIAP2', 'BAK1', 'BAX', 'BLCAP', 'BMP2', 'BTG1', 'BTG2', 'CASP1', 'CCND2', 'CCND3', 'CCNG1', 'CCNK', 'CCP110', 'CD81', 'CD82', 'CDH13', 'CDK5R1', 'CDKN1A', 'CDKN2A', 'CDKN2AIP', 'CDKN2B', 'CEBPA', 'CGRRF1', 'CLCA2', 'COQ8A', 'CSRNP2', 'CTSD', 'CTSF', 'CYFIP2', 'DCXR', 'DDB2', 'DDIT3', 'DDIT4', 'DEF6', 'DGKA', 'DNTTIP2', 'DRAM1', 'EI24', 'ELP1', 'EPHA2', 'EPHX1', 'EPS8L2', 'ERCC5', 'F2R', 'FAM162A', 'FAS', 'FBXW7', 'FDXR', 'FGF13', 'FOS', 'FOXO3', 'FUCA1', 'GADD45A', 'GLS2', 'GM2A', 'GPX2', 'H1-2', 'H2AC25', 'H2AJ', 'HBEGF', 'HDAC3', 'HEXIM1', 'HINT1', 'HMOX1', 'HRAS', 'HSPA4L', 'IER3', 'IER5', 'IFI30', 'IL1A', 'INHBB', 'IP6K2', 'IRAG2', 'IRAK1', 'ISCU', 'ITGB4', 'JAG2', 'JUN', 'KIF13B', 'KLF4', 'KLK8', 'KRT17', 'LDHB', 'LIF', 'MAPKAPK3', 'MDM2', 'MKNK2', 'MXD1', 'MXD4', 'NDRG1', 'NHLH2', 'NINJ1', 'NOL8', 'NOTCH1', 'NUDT15', 'NUPR1', 'OSGIN1', 'PCNA', 'PDGFA', 'PERP', 'PHLDA3', 'PIDD1', 'PITPNC1', 'PLK2', 'PLK3', 'PLXNB2', 'PMM1', 'POLH', 'POM121', 'PPM1D', 'PPP1R15A', 'PRKAB1', 'PRMT2', 'PROCR', 'PTPN14', 'PTPRE', 'PVT1', 'RAB40C', 'RACK1', 'RAD51C', 'RAD9A', 'RALGDS', 'RAP2B', 'RB1', 'RCHY1', 'RETSAT', 'RGS16', 'RHBDF2', 'RNF19B', 'RPL18', 'RPL36', 'RPS12', 'RPS27L', 'RRAD', 'RRP8', 'RXRA', 'S100A10', 'S100A4', 'SAT1', 'SDC1', 'SEC61A1', 'SERPINB5', 'SERTAD3', 'SESN1', 'SFN', 'SLC19A2', 'SLC35D1', 'SLC3A2', 'SLC7A11', 'SOCS1', 'SP1', 'SPHK1', 'ST14', 'STEAP3', 'STOM', 'TAP1', 'TAX1BP3', 'TCHH', 'TCN2', 'TGFA', 'TGFB1', 'TM4SF1', 'TM7SF3', 'TNFSF9', 'TNNI1', 'TOB1', 'TP53', 'TP63', 'TPD52L1', 'TPRKB', 'TRAF4', 'TRAFD1', 'TRIAP1', 'TRIB3', 'TSC22D1', 'TSPYL2', 'TXNIP', 'UPP1', 'VAMP8', 'VDR', 'VWA5A', 'WRAP73', 'WWP1', 'XPC', 'ZBTB16', 'ZFP36L1', 'ZMAT3', 'ZNF365']",HALLMARK
