,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Tissue,cell_type
0,prerank,RS,0.4564866833709799,1.9982573493412845,0.001,0.001,0.001,77/225,21.73%,H4C3;H1-3;H1-2;H1-4;HMGA1;DUT;BCL7A;H2AZ2;ZBTB38;RFC1;PRKDC;TOPBP1;RAD21;PSMB2;GEN1;PSMA4;USP7;CUL3;PSMB3;PELI1;ROMO1;PARP1;CCT2;CCT5;NUCKS1;RPS27L;PRMT1;POLR2J;CCT8;CDK6;PSMA6;ANKRD28;DYNLL1;TAF10;SMC3;ZNF827;BRD7;KHDRBS1;PBRM1;RPA2;PPP4C;SETD2;SMARCC1;SMG6;RBX1;HSP90AA1;TERF2IP;PRIM2;S100A11;DBF4;SHLD2;PDS5B;FAF1;ADAM17;RPA3;FBXW7;HNRNPD;UBE2A;PPP2CA;DCP2;GSPT1;PTGES3;POGZ;NSMCE2;TOP1;ACTB;CCT3;PSMA3;HNRNPA2B1;ELOB;NAP1L1;TNKS;PSMA7;HNRNPU;SFPQ;NABP1;ACTR2,Colon,B cell
1,prerank,TIS,0.3005820039708017,1.3670369062578038,0.008875739644970414,0.023676880222841225,0.032,66/341,14.88%,HMGB2;H4C3;PITPNC1;IRAG2;H1-2;DUT;BCL7A;DEK;CBX5;PVT1;H2AZ2;EYA3;ZBTB38;RFC1;BAZ1B;CD38;PRKDC;TOPBP1;HIPK2;AIM2;HMGB1;RAD21;CBX3;MACROD2;PSMB2;TCEA1;CRIP1;GEN1;S100A10;LDHB;PSMA4;USP7;PSMB3;PELI1;PARP1;NUCKS1;RPS27L;PRMT1;SMC1A;POLR2J;CD82;PSMA6;MBD4;UBE2I;XPC;TAF10;BRD7;UBR5;CD81;PBRM1;NFAT5;GSTP1;RPA2;PPP4C;SETD2;SMARCC1;PARK7;RBX1;TERF2IP;S100A4;DBF4;SHLD2;PDS5B;ADAM17;RPA3;FBXW7,Colon,B cell
2,prerank,Common,0.26405771459305344,1.3101509115571868,0.001,0.037140204271123495,0.074,218/1056,16.87%,STMN1;HMGB2;H4C3;H1-3;H1-2;TUBB;H1-4;DNMT1;HMGA1;STK39;CD86;UBE2J1;BCL7A;DEK;H2AZ1;CBX5;SEC14L1;UBE2S;GAPDH;MDFIC;NEK6;VGLL4;SNRPD1;HMGN2;H2AZ2;EYA3;CKS2;CD27;ZBTB38;JPT1;RBBP7;ITGAL;RFC1;ANP32B;SEMA4D;RASGRP1;RFTN1;PIP4K2A;LCP1;TMPO;PLEK;NLK;ANAPC11;SLC25A5;BAZ1B;CD38;PRKDC;TOPBP1;HIPK2;AIM2;HMGB1;AMFR;EPS15;DDX39A;LYPLA1;TUBB4B;RAN;RAD21;CBX3;SRPK1;MACROD2;PSMB2;EIF3A;LYPLAL1;PSMD1;VPS29;CD58;MGAT4A;CRIP1;GEN1;S100A10;PSIP1;PSMA4;ROCK2;PA2G4;USP7;RTN3;PRDX6;NF1;CUL3;BICD1;HSPD1;PSMB3;ACTG1;PELI1;ODC1;NUP210;ROMO1;PARP1;NAA38;CAB39;BUB3;LBR;ST3GAL3;RBBP4;NUCKS1;RPS27L;PRMT1;VDAC1;SMC1A;FAM76B;SND1;MTMR14;IGHA2;HSPH1;CDK6;CD82;PRDX1;YWHAQ;NUDC;CFLAR;RAB3GAP2;GSK3B;HSPA4;USP6NL;MAP2K2;PSMA6;PSMD7;LGALS1;PPP2R1A;DYNLL1;PABPC4;MBD4;UBE2I;SCMH1;CFL1;XPC;SUZ12;SIVA1;RICTOR;PSMC5;TAF10;MIOS;LARP7;PPIA;SYK;BRD7;UBR5;CD81;TBK1;MSRA;ZBTB8OS;MTF2;ATP5F1A;PBRM1;NFAT5;SREBF2;GSTP1;RPA2;YWHAE;PPP4C;MAPKAP1;SETD2;VPS13A;SMARCC1;FUT8;SNAP23;DDT;PARK7;EHMT1;XPO1;NASP;AKIRIN2;RBX1;HSP90AA1;TERF2IP;RAC1;PRIM2;DNAJC7;S100A11;MAPRE1;ETS1;CLEC16A;HTT;NONO;RBM47;CLIP1;SEC61B;RNF115;DBF4;PDIA6;ATP5IF1;SRSF10;SHLD2;NUP153;PDS5B;TFDP2;SIAH2;FAF1;STAT5B;ATG7;ADAM17;DNAJC10;USP33;RPA3;FBXW7;HNRNPD;SRSF2;ATE1;UBE2A;PPP2CA;CCM2;GSPT1;TRIM26;POGZ;TMCO1;ABI1;WWP2;SNX5;CSNK2B;STX12;UCP2;HCLS1;NFATC2;CANX;DEPDC5;NSMCE2;RELB,Colon,B cell
3,prerank,MS,0.24568607223788072,1.1477826098958617,0.1381668946648427,0.1671309192200557,0.345,108/416,21.27%,PITPNC1;NEDD4L;H2AZ1;PKM;TKT;GAPDH;SMS;EXT1;PIP4K2A;MRPL51;SLC25A5;MRPS6;LPIN1;HIPK2;OGDH;MRPS27;LDHA;ACADM;S100A10;LDHB;ROCK2;TRABD;COX8A;PRDX6;ABHD3;NF1;HSPD1;COX5A;ODC1;ROMO1;PARP1;CAB39;PRMT1;VDAC1;AURKAIP1;NDUFA12;ATP5F1C;HSPH1;NDUFS6;ITPKB;OSBPL10;GSK3B;LGALS1;PI4KA;ATP5MC3;NDUFB1;TPI1;RICTOR;ATP5MF;NCOA3;NDUFA2;MIOS;ATP5F1A;SREBF2;GSTP1;MAPKAP1;NDUFS7;VPS13A;PARK7;MRPL18;HSP90AA1;NDUFC2;S100A4;ETS1;CLEC16A;ATP5IF1;NDUFA11;SIAH2;ATP5F1B;MDH1;ATG7;ADAM17;UQCR10;TALDO1;UQCRQ;ETFB;PTGES3;DEGS1;NDUFB8;NDUFC1;UCP2;TPD52;NDUFAB1;COX6A1;DEPDC5;NDUFB3;UGP2;CYRIB;HIBCH;DBI;UBQLN1;UVRAG;ATP5PF;LARP1;ATP5MG;ATF4;ENO1;STMP1;HSPA8;COX6C;ETFA;MFF;ATP5PD;ATP6V1E1;RBPJ;COX14;UBR4;COX17,Colon,B cell
4,prerank,OIS,0.2095981907327733,0.943257124298054,0.6169296987087518,0.6222841225626741,0.908,65/315,17.65%,STK39;GAPDH;MDFIC;RABGAP1L;CD27;RASGRP1;LCP1;NLK;HIPK2;HMGB1;DDX39A;LDHA;TCEA1;PSMA4;ROCK2;USP7;CTSH;NF1;CUL3;HSPD1;PELI1;CAB39;NIN;USP12;PRMT1;PPA1;PREX1;CDK6;PRDX1;GSK3B;HSPA4;MAP2K2;PFN1;TPI1;CFL1;RICTOR;MIOS;PPIA;SYK;ACTR3;CD81;TBK1;GSTP1;YWHAE;MAPKAP1;DDT;STIP1;RBX1;RASGRP3;RAC1;ARPC5L;ETS1;CLEC16A;TFDP2;ADAM17;FBXW7;CACYBP;CCM2;CSNK2B;RAP1A;CANX;DEPDC5;SMAD2;CCDC88C;RANBP9,Colon,B cell
0,prerank,MS,0.3933145921645415,1.9685045606553528,0.001,0.001,0.001,164/445,21.99%,GADD45GIP1;PGLS;ALKBH7;CHCHD10;ATP5F1D;NDUFAB1;MIF;S100A4;STUB1;PRELID1;TALDO1;ISCU;PHB1;ATP5MC3;NDUFB3;LAMTOR5;PSME1;COX5A;GPX4;ENO1;NDUFA3;GAPDH;ATP5F1E;COX6B1;YWHAH;PKM;ATP5MG;PLAAT4;GPX1;ECHDC1;COX6A1;CHCHD2;ATP5MC2;PARK7;TOMM7;SLC25A6;NDUFB10;NDUFA13;ATP6V1G1;ATP5MC1;PRDX5;COX6C;NDUFS8;VAMP8;MRPS21;HIGD2A;NDUFA6;NDUFB5;SMDT1;UQCRH;LGALS1;MRPL51;NDUFA4;COX7C;NDUFB4;LDHB;MT2A;NDUFB2;NDUFB8;ATP5PF;BLOC1S1;NDUFS6;UQCRB;MRPL57;ATP5PO;COX5B;NDUFS5;ATP5ME;ATP5PD;MDH2;NDUFB9;MICOS10;NDUFA11;COX7B;SLC25A5;COX4I1;MRPL20;ISG20;ROMO1;UQCR11;TOMM6;NOP53;VDAC2;PNRC1;ATP5F1C;COX8A;NDUFS7;TOMM20;OSTC;ATP6V1F;DBI;COX7A2;NDUFA12;TOMM22;ATP5MF;ERP29;SSBP1;AURKAIP1;S100A10;GSTP1;UQCR10;PLIN2;NDUFC2;CITED2;NDUFA2;VDAC1;FIS1;NDUFB11;PARP1;NDUFC1;ECH1;MGST3;MRPL41;COX20;GABARAP;SLC25A3;ATP6V0B;COX14;MRPS24;DNAJC19;NME3;NDUFB7;COX17;HNRNPA1;MICOS13;NDUFA1;TOMM5;MRPL54;NDUFV2;RAB5IF;TPI1;DDIT4;ATP6V0E1;ATP5F1A;TMBIM6;ATP5F1B;LDHA;TUFM;ETFB;ATP6V0C;OCIAD2;UQCRQ;LAMTOR4;MRPS6;ATP6V1D;MAP1LC3B;HAX1;UCP2;ANXA2;ATP5IF1;HSPA8;H2AZ1;COX7A2L;BAX;VDAC3;BTG1;ATP5PB;GHITM;FAM162A;CYCS;MRPL52;VAPA;PRDX6;JUN,Colon,CD4T
1,prerank,TIS,0.27562289975434434,1.3681700471412797,0.011530398322851153,0.02182952182952183,0.04,103/360,23.40%,ALKBH7;C1QBP;MIF;S100A4;ISCU;GUK1;POLR1H;GPX4;APRT;PSMA7;TIMP1;ACTB;DUT;RPS12;COPS9;PSMB6;PSMA2;WAS;TPT1;RACK1;RPL18;POLR2J;RPS3;PARK7;H2AC20;CIB1;RPL26;HINT1;RPS27A;VAMP8;RPL36;UBA52;RAD23A;PSMA6;LDHB;PPP1CA;GSTO1;DAD1;POLR2K;COPS6;GTF2A2;EDF1;UBXN1;SOCS1;NOP53;NPM1;CRIP1;PSMA4;SF3B5;S100A10;GSTP1;EEF1D;SUMO2;TMED2;NSMCE3;POLR1D;MPC2;PARP1;PSMB1;CBX3;NME3;COX17;UBB;POLR3GL;PSMB3;BATF;ISG15;H1-2;TXNIP;DDIT4;ANP32A;SEM1;H4C3;PAXX;EIF1B;RPS27L;HMGB2;POLR2L;RBX1;UBC;SMARCE1;ZNHIT1;BCAP31;TCEA1;H2AZ2;VPS28;CD81;ENY2;SUMO1;PSMA5;BAX;BTG1;FAM162A;POLD4;RPA3;JUN;GATA3;CD74;SLC3A2;HCLS1;ARL6IP1;PSMB2;SKP1,Colon,CD4T
2,prerank,Common,0.21610923274133603,1.1170259562434506,0.12424849699398798,0.3426888426888427,0.629,310/1108,26.01%,ALKBH7;C1QBP;MIF;STUB1;IL17A;IL32;PRELID1;CORO1A;PHB1;NME2;LAMTOR5;CORO1B;PSME1;LY6E;RHOC;GPX4;ACTG1;ENO1;PSME2;PSMA7;GAPDH;TIMP1;PCBP1;MYL12A;CLIC1;ACTB;KLRB1;YBX1;YWHAH;PLAAT4;GPX1;PSMB6;PSMA2;TMSB4X;PSMB10;WAS;NACA;PSMB8;TPT1;SEC61B;PSMB9;RACK1;EEF1A1;ANP32B;EIF3L;EIF3G;CHCHD2;RPS3;RPSA;GYPC;CYBA;PARK7;RPL39;TOMM7;RPS19;ANXA5;H2AC20;CIB1;RPL26;CD40LG;RPS27A;PDIA6;ATP6V1G1;RPS3A;RPL13A;PRDX5;S100A11;BANF1;RPS27;VAMP8;YWHAB;HIGD2A;CHMP2A;IFITM2;NDUFA6;SRI;UBA52;SOD1;SMDT1;RPL30;CFL1;LGALS1;RAD23A;FAU;PSMA6;EIF3F;NDUFB4;PSMD8;PPP1CA;MT2A;CALM1;NFKBIA;FTH1;EMP3;PRDX2;HSPB1;DAD1;PPIA;FTL;CD27;SLC25A5;ISG20;SERP1;ROMO1;EIF3D;UBXN1;LAT;GPSM3;NOP53;NPM1;TMEM258;CSNK2B;TXN;SVIP;HLA-C;CRIP1;CD48;PSMA4;SF3B5;PTMA;S100A10;RAN;GSTP1;PLIN2;SUMO2;B2M;HCST;IFITM1;LAPTM5;NSMCE3;CITED2;H3-3A;VDAC1;RHOA;PA2G4;PARP1;HMGN2;GZMA;PSMB1;TUBB;CST7;GABARAP;ATP6V0B;CBX3;HLA-B;JUNB;TMEM219;NME3;TRAM1;UBB;HNRNPA1;IL2RG;PSMB3;DENR;DDT;KLF2;CALCOCO2;H3-3B;BATF;SET;RAC1;ISG15;CTCF;SPCS1;H1-2;RHOG;EPRS1;MAPRE1;TXNIP;DDIT4;ATP6V0E1;ANP32A;SEM1;ATP5F1A;PSMC5;TMBIM6;ARHGDIA;BST2;H4C3;HLA-A;PAXX;CALR;ATP6V0C;DYNLL1;RPS27L;ABHD17A;HMGB2;HNRNPA0;RBX1;YPEL3;PSMD13;SNX3;UBC;SMARCE1;ARL6IP5;PPP1R11;LSP1;CCL5;ZNHIT1;PDCD10;PPP1CC;PRDX1;BCAP31;NONO;ATP6V1D;HNRNPK;CAMLG;EVI2B;MAP1LC3B;HAX1;DNAJA2;UCP2;H2AZ2;H1-3;BNIP2;VPS28;ANXA2;ATP5IF1;SNRPD1;HSPA8;RNASET2;LGALS3;RNF7;HSP90AB1;CD81;H2AZ1;RAB8A;NUB1;ENY2;SUMO1;PSMA5;BAX;BTG1;LCP1;RNASEK;PDCD6;GHITM;BSG;SPCS3;FAM162A;MAF;LARP7;PTPN6;HLA-E;ANAPC11;CD4;POLD4;VAPA;RPA3;PRDX6;UFC1;JUN;GATA3;HLA-F;PSMC6;PSIP1;SOCS3;TMBIM4;LYAR;CD74;PSMD7;JPT1;SLC3A2;HSPE1;PSMD4;YTHDF2;HCLS1;ZFP36;CXCR6;ARL6IP1;CD2;FKBP8;PSMB2;NAA38;SKP1;DNMT1;UFM1;PAK2;CCL20;ID2;EIF4A1;SELENOS;PSAP;TIAL1;SH3GLB1;NCL;DEK;UBE2V1;RGS1;HERPUD1;RSL1D1;ANAPC16;LCK;BUB3;TMPO;VAMP2;P4HB;ITGB2;CCR6;FGFR1OP2;AIMP1;GLO1;CDC5L;XBP1;IL4I1;TLN1;UBE2J1;TIPRL;SEC62;SELENOK,Colon,CD4T
3,prerank,RS,0.18920831122281911,0.9105548023833301,0.6872294372294372,0.9056652806652806,0.991,47/235,20.12%,C1QBP;NHP2;PSME1;PSME2;PSMA7;ACTB;DUT;PSMB6;PSMA2;TMSB4X;WAS;POLR2J;H2AC20;S100A11;ELOB;PSMA6;PPP1CA;POLR2K;ROMO1;PSMA4;SSBP1;NSMCE3;H3-3A;CDK2AP2;PARP1;NOP10;PSMB1;HNRNPA1;PSMB3;H3-3B;SET;H1-2;SEM1;H4C3;CCNI;DYNLL1;RPS27L;STN1;POLR2L;RBX1;SMARCE1;CCT7;H2AZ2;H1-3;HSP90AB1;CCT8;PSMA5,Colon,CD4T
4,prerank,OIS,0.16395684823992102,0.8145788753015296,0.8837696335078534,0.903950103950104,1.0,109/344,29.88%,PFN1;MIF;STUB1;CORO1A;PHB1;LAMTOR5;ENO1;GAPDH;ARPC3;RPS6;PSMB8;GYPC;CIB1;RPS27A;PEBP1;ATP5MC1;YWHAB;UBA52;SOD1;CFL1;PPP1CA;PPIA;CD27;SERP1;LAT;CSNK2B;PSMA4;ERP29;GSTP1;LAPTM5;PPA1;GABARAP;TMEM219;UBB;PRDM1;IL2RG;DDT;RAC1;EPRS1;TPI1;DDIT4;ARHGDIA;LDHA;CALR;ATP6V0C;PABPN1;RBX1;PSMD13;LAMTOR4;SSR1;UBC;ARL6IP5;CTSC;CCL5;PDCD10;PPP1CC;PRDX1;ATP6V1D;TCEA1;ATP6AP2;EIF2S2;CD81;RGS2;AP2M1;TUBA4A;LCP1;PDCD6;ACTR3;PTPN6;JUN;CACYBP;GATA3;PSMC6;CD74;HSPE1;ZFP36;SKP1;UFM1;PAK2;DUSP1;CCL20;ID2;SATB1;SEC11A;LCK;BHLHE40;ITGB2;XBP1;HMGB1;CD37;M6PR;PPP1R15A;DNAJA1;ARF1;IL7R;ZFP36L2;IGBP1;BTG2;GPR183;SBNO1;VRK2;NCKAP1L;CTSS;PGK1;MAP3K4;NMT1;CCT6A;HSP90B1;IL2RB,Colon,CD4T
