,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,Tissue,source_ct,source_state,target_ct,target_state,ligand_mean,ligand_pct,receptor_mean,receptor_pct,rank_within_tissue,percentile,gene_name,cell_type,logFC,FDR,l_sasp_group,target_ct_cat,source_ct_cat
0,Endothelial cell_Sc,Mural cell_NSc,TGM2,ITGB1,1.6821941,0.0,2.7114825,0.5037183762453822,0.6284374972325675,0.32761228,0.93946195,0.00032951550983604014,4.133441325692841e-05,Heart,Endothelial cells,Sc,Mural cells,NSc,1.3382545,0.7126909849468048,2.0261338,0.789784422056157,25.0,0.01151012891344383,TGM2,Endothelial cell,0.8416823985948448,3.463612536870221e-05,ECM and remodeling,Mesenchymal & Stromal,Endothelial
2,Endothelial cell_Sc,Mural cell_NSc,TIMP2,ITGB1,1.3967971,0.0,1.5549774,0.3790138653541758,0.45844389416680875,0.2304397,0.9215805,0.0008835795593171369,0.0002904248051790488,Heart,Endothelial cells,Sc,Mural cells,NSc,0.7674604,0.47375542650958075,2.0261338,0.789784422056157,56.0,0.02578268876611418,TIMP2,Endothelial cell,0.2856393012220364,0.030722018028764,ECM and remodeling,Mesenchymal & Stromal,Endothelial
3,Endothelial cell_Sc,Endothelial cell_NSc,TGM2,ITGB1,1.3614626,0.0,1.8530419,0.22525025556862727,0.17343798834155555,0.22389202,0.9276877,0.0009423834593597196,0.00035220443268334706,Heart,Endothelial cells,Sc,Endothelial cells,NSc,1.3382545,0.7126909849468048,1.3846709,0.5705331705332994,61.0,0.028084714548802948,TGM2,Endothelial cell,0.8416823985948448,3.463612536870221e-05,ECM and remodeling,Endothelial,Endothelial
4,Endothelial cell_Sc,Mural cell_NSc,VEGFC,ITGB1,1.3237998,0.0,1.2591728,0.428955584784801,0.5880867166471655,0.36886027,0.9136086,0.00019420927819774667,0.0006969331495163206,Heart,Endothelial cells,Sc,Mural cells,NSc,0.6214658,0.37402040931386354,2.0261338,0.789784422056157,83.0,0.03821362799263352,VEGFC,Endothelial cell,0.4161567652878245,0.0084265319176885,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
5,Endothelial cell_Sc,Mural cell_NSc,TIMP1,CD63,1.5021642,0.0,1.1669798,0.09943843599041029,-0.2015978040892379,0.07151987,0.91056037,0.0034061856872164035,0.0009807319204447047,Heart,Endothelial cells,Sc,Mural cells,NSc,0.45836467,0.2571460788182605,2.5459638,0.9251435380783295,98.0,0.04511970534069982,TIMP1,Endothelial cell,1.6191347685741446,4.600981323448893e-07,ECM and remodeling,Mesenchymal & Stromal,Endothelial
9,Mural cell_Sc,Mural cell_NSc,PDGFA,PDGFRB,1.2111033,0.0,1.2209846,1.4333304774499325,2.07383716503609,0.91699874,0.91238546,8.973609778682495e-09,0.0015731717321624513,Heart,Mural cells,Sc,Mural cells,NSc,0.7153346,0.3815789473684152,1.706872,0.6861120138663057,127.0,0.05847145488029466,PDGFA,Mural cell,0.6135496704982799,0.0017562923263303,Growth / angiogenesis / development,Mesenchymal & Stromal,Mesenchymal & Stromal
10,Endothelial cell_Sc,Endothelial cell_NSc,TIMP1,CD63,1.2973253,1.0,0.9791979,-0.11926058098526043,-0.4134756159055055,0.06001141,0.9031545,0.0726480222427819,0.0016320737902051044,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.45836467,0.2571460788182605,2.1362858,0.8133007733016739,129.0,0.05939226519337017,TIMP1,Endothelial cell,1.6191347685741446,4.600981323448893e-07,ECM and remodeling,Endothelial,Endothelial
13,Endothelial cell_Sc,Endothelial cell_NSc,VEGFC,FLT1,1.134095,0.0,1.0233828,0.3454560459668627,0.7672681079714985,0.77660716,0.90506756,9.150936710343335e-05,0.0028490001730570617,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.6214658,0.37402040931386354,1.6467242,0.6492796092799885,164.0,0.07550644567219153,VEGFC,Endothelial cell,0.4161567652878245,0.0084265319176885,Growth / angiogenesis / development,Endothelial,Endothelial
14,Mural cell_Sc,Mural cell_NSc,VEGFA,ITGB1,1.2104414,0.0,0.79981416,0.1786730021425031,0.1893514841637065,0.15493882,0.89393675,0.0017129072459343786,0.003061573182184342,Heart,Mural cells,Sc,Mural cells,NSc,0.39474896,0.21305668016194568,2.0261338,0.789784422056157,174.0,0.08011049723756906,VEGFA,Mural cell,1.1790603500736463,0.0001750598539799,Growth / angiogenesis / development,Mesenchymal & Stromal,Mesenchymal & Stromal
15,Endothelial cell_Sc,Mural cell_NSc,HBEGF,CD9,1.2059124,0.0,0.75920373,0.327487900202756,0.41720291603715165,0.31436923,0.8914409,0.0003813951766054478,0.003596661382762595,Heart,Endothelial cells,Sc,Mural cells,NSc,0.3722332,0.23854090319667956,2.0395916,0.7894594301809537,189.0,0.08678637200736648,HBEGF,Endothelial cell,0.2892920130439994,0.0457266543428806,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
16,Endothelial cell_Sc,Endothelial cell_NSc,TIMP2,ITGB1,1.0760657,0.0,1.06268,0.10054574467742093,0.003444385275796824,0.15748374,0.90667397,0.001658564389881964,0.00420574914661108,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.7674604,0.47375542650958075,1.3846709,0.5705331705332994,200.0,0.09208103130755065,TIMP2,Endothelial cell,0.2856393012220364,0.030722018028764,ECM and remodeling,Endothelial,Endothelial
17,Mural cell_Sc,Mural cell_NSc,THBS1,CD36,1.0586803,0.0,0.74584395,0.5257072709152601,0.6329381291842855,0.30531245,0.89057887,0.0004196876359619253,0.005032976655937275,Heart,Mural cells,Sc,Mural cells,NSc,0.44634056,0.23507085020243232,1.6710199,0.624634384140349,218.0,0.1003683241252302,THBS1,Mural cell,1.1094886384556055,7.299377187949904e-05,ECM and remodeling,Mesenchymal & Stromal,Mesenchymal & Stromal
18,Endothelial cell_Sc,Mural cell_NSc,JAG1,NOTCH3,1.0479438,0.0,1.0171793,0.789131174242655,1.3270919721707382,0.23796163,0.904806,0.00014647509259827464,0.005491962533155074,Heart,Endothelial cells,Sc,Mural cells,NSc,0.76332635,0.4505271466426302,1.3325614,0.5606651500378337,224.0,0.1033609576427256,JAG1,Endothelial cell,0.4456069324382745,0.0030018180975873,Immune interface,Mesenchymal & Stromal,Endothelial
19,Mural cell_Sc,Endothelial cell_NSc,THBS1,CD36,1.0460322,0.0,0.7345533,0.515533396659246,0.6241314264208002,0.3006906,0.88983345,0.000437758577823368,0.005564321451043202,Heart,Mural cells,Sc,Endothelial cells,NSc,0.44634056,0.23507085020243232,1.6457238,0.637199837200178,227.0,0.10451197053406998,THBS1,Mural cell,1.1094886384556055,7.299377187949904e-05,ECM and remodeling,Endothelial,Mesenchymal & Stromal
21,Mural cell_Sc,Mural cell_NSc,JAG1,NOTCH3,1.0242636,0.0,0.95406854,0.7626310489235525,1.326073294184995,0.47294474,0.9020116,9.150936710343335e-05,0.006121840091664824,Heart,Mural cells,Sc,Mural cells,NSc,0.7159659,0.39245951417003383,1.3325614,0.5606651500378337,242.0,0.1111878453038674,JAG1,Mural cell,0.2707340465742469,0.0308820002796549,Immune interface,Mesenchymal & Stromal,Mesenchymal & Stromal
23,Endothelial cell_Sc,Endothelial cell_NSc,VEGFC,ITGB1,1.0030683,0.0,0.8605256,0.1504874641080461,0.1330872077561535,0.25208113,0.89735556,0.0007012045969480267,0.007068138963608931,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.6214658,0.37402040931386354,1.3846709,0.5705331705332994,260.0,0.11970534069981584,VEGFC,Endothelial cell,0.4161567652878245,0.0084265319176885,Growth / angiogenesis / development,Endothelial,Endothelial
24,Endothelial cell_Sc,Endothelial cell_NSc,TGM2,ADGRG1,0.9755014,0.0,0.82001317,0.35317303993385835,0.669249465515089,0.83209413,0.89511335,9.150936710343335e-05,0.008256244381086497,Heart,Endothelial cells,Sc,Endothelial cells,NSc,1.3382545,0.7126909849468048,0.6127483,0.27324379324375025,283.0,0.13029465930018416,TGM2,Endothelial cell,0.8416823985948448,3.463612536870221e-05,ECM and remodeling,Endothelial,Endothelial
